,Original,Simplified,Model,Adequacy,Fluency,Simplicity
83,"The relevant domestic law and practice concerning the imposition of detention on remand (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules governing other, so-called “preventive measures” (środki zapobiegawcze) are stated in the Court's judgments in the cases of Gołek v. Poland, no. 31330/02, §§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, §§ 22-23, 4 August 2006.","The relevant domestic law and practice concerning the lawfulness of detention on the (aresztowanie tymczasowe), the grounds for its prolongation, release from detention and rules the other, so-called âpreventive measuresâ (Årodki zapobiegawcze) are stated in the Court's and in the cases of GoÅek v. Poland, no. 31330/02, Â§Â§ 27-33, 25 April 2006 and Celejewski v. Poland, no. 17584/04, Â§Â§ 22-23, 4 August 2006.",M7,,,
84,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:",M1,,,
85,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","according to section 39 of the Law , the services are to be set up and run by the association of cities with more than 50,000 people . Section 40 of the Law , as relevant at the appropriate time , provided , in so far as necessary :",M2,,,
86,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","Pursuant to section 39 of the Law , soberingup services are to be set up and managed by the authorities of municipalities with more than 50,000 residents . Section 40 of the Law , as relevant at the relevant time , provided , in so far as relevant :",M3,,,
87,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","The authorities of municipalities with more than 50,000 inhabitants are to set up and manage soberingup centres. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:",M4,,,
88,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","Pursuant to section 39 of the Law , soberingup centers are to be set up and controlled by the authorities of municipalities with more than 50,000 habitants . Section 40 of the Law , as applicable at the pertinent time , provided , in so far as germane :",M5,,,
89,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","Pursuant to section 39 of the Law, soberingup places are to be set up and managed by the authorities of municipalities with more than 50,000 the. Section 40 of the Law, as the at the relevant time, provided, in so far as relevant:",M6,,,
90,"Pursuant to section 39 of the Law, soberingup centres are to be set up and managed by the authorities of municipalities with more than 50,000 inhabitants. Section 40 of the Law, as applicable at the relevant time, provided, in so far as relevant:","Pursuant to. Section 39 of the Law, soberingup places are to be set up managed by the authorities of municipalities with more than 50,000 the. Section 40 of the Law, as the at the relevant time, provided, in far as relevant:",M7,,,
91,"As there was again no reply, on 25 October 1999 the applicant's lawyer sent another letter to the public prosecutor, requesting information about any action undertaken concerning the applicant's case. He made no reference to the civil proceedings that had already finished and did not inform the public prosecutor of the identity of the police officers concerned, which had been determined in the course of the civil proceedings.","As there was again no reply, on 25 October 1999 the applicant's lawyer sent another letter to the public prosecutor, requesting information about any action undertaken concerning the applicant's case. He made no reference to the civil proceedings that had already finished and did not inform the public prosecutor of the identity of the police officers concerned, which had been determined in the course of the civil proceedings.",M1,,,
92,"As there was again no reply, on 25 October 1999 the applicant's lawyer sent another letter to the public prosecutor, requesting information about any action undertaken concerning the applicant's case. He made no reference to the civil proceedings that had already finished and did not inform the public prosecutor of the identity of the police officers concerned, which had been determined in the course of the civil proceedings.","As there was again no answer , on 25 October 1999 the defendant 's lawyer sent another letter to the public attorney , seeking information about any action taken in the defendant 's case . He made no response to the civil litigation that had already started and did not tell the public lawyer of the rights of the police officers involved , which had been discovered in the course of the civil proceedings .",M2,,,
